2210929596;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391729593;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391729593; ANDROID             
2210929597;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391727058;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391727058; ANDROID             
2210929598;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391734195;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391734195; ANDROID             
2210929599;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391736337;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391736337; ANDROID             
2210930403;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391747752;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391747752; ANDROID             
2210930404;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391745656;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391745656; ANDROID             
2210930405;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391758269;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391758269; ANDROID             
2210930406;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391754126;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391754126; ANDROID             
2210930407;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391769758;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391769758; ANDROID             
2210930408;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391792024;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391792024; ANDROID             
2210930409;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391781560;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391781560; ANDROID             
2210930410;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391773161;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391773161; ANDROID             
2210930411;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391778739;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391778739; ANDROID             
2210930412;367213;1001455097; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; GlobalSearchResponsiveWidget  ; widgetShow              ; GlobalSearchResponsiveWidget      ;1551391794178;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391794178; ANDROID             
2210931239;366450;1001467485; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391527268;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391527268; ANDROID             
2210931240;366450;1001467485; G3_ANDROID_QP_1.0.0  ; UTC+02:00            ; EpgResponsiveWidget           ; widgetShow              ; EpgResponsiveWidget               ;1551391531211;0;737484; null                                               ; null                   ; null                     ; null                    ;1551391531211; ANDROID             
